sex,age,survival_probability
M,0,1.0000
M,1,0.9939
M,5,0.9929
M,10,0.9922
M,15,0.9915
M,20,0.9897
M,25,0.9856
M,30,0.9803
M,35,0.9744
M,40,0.9678
M,45,0.9590
M,50,0.9460
M,55,0.9265
M,60,0.8979
M,65,0.8570
M,70,0.7987
M,75,0.7155
M,80,0.6020
M,85,0.4525
M,90,0.2810
M,95,0.1330
M,100,0.0430
M,110,0.0020
M,119,0.0000
F,0,1.0000
F,1,0.9949
F,5,0.9941
F,10,0.9935
F,15,0.9930
F,20,0.9919
F,25,0.9901
F,30,0.9876
F,35,0.9843
F,40,0.9800
F,45,0.9742
F,50,0.9655
F,55,0.9526
F,60,0.9335
F,65,0.9054
F,70,0.8645
F,75,0.8030
F,80,0.7100
F,85,0.5720
F,90,0.3850
F,95,0.1980
F,100,0.0720
F,110,0.0040
F,119,0.0000
