family_id,label,canonical,variant,review_status,rationale
ashley,Ashley family,Ashley,Ashley,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
ashley,Ashley family,Ashley,Ashlee,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
ashley,Ashley family,Ashley,Ashleigh,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
ashley,Ashley family,Ashley,Ashlie,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
ashley,Ashley family,Ashley,Ashly,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
ashley,Ashley family,Ashley,Ashli,approved,Ashley and its qualifying direct respellings chart separately; this reviewed family combines the decade footprint while retaining every variant count.
brittany,Brittany family,Brittany,Brittany,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
brittany,Brittany family,Brittany,Brittney,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
brittany,Brittany family,Brittany,Britney,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
brittany,Brittany family,Brittany,Brittani,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
brittany,Brittany family,Brittany,Brittni,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
brittany,Brittany family,Brittany,Britany,approved,Brittany and its qualifying direct respellings chart separately; the family view measures the broader spelling pattern without claiming personal interchangeability.
caitlin,Caitlin family,Caitlin,Caitlin,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Katelyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Kaitlin,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Kaitlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Caitlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Katlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
megan,Megan family,Megan,Megan,approved,"Megan, Meghan, Meagan, Meaghan, and Maegan are established spelling forms whose separate ranks understate their combined decade footprint."
megan,Megan family,Megan,Meghan,approved,"Megan, Meghan, Meagan, Meaghan, and Maegan are established spelling forms whose separate ranks understate their combined decade footprint."
megan,Megan family,Megan,Meagan,approved,"Megan, Meghan, Meagan, Meaghan, and Maegan are established spelling forms whose separate ranks understate their combined decade footprint."
megan,Megan family,Megan,Meaghan,approved,"Megan, Meghan, Meagan, Meaghan, and Maegan are established spelling forms whose separate ranks understate their combined decade footprint."
megan,Megan family,Megan,Maegan,approved,"Megan, Meghan, Meagan, Meaghan, and Maegan are established spelling forms whose separate ranks understate their combined decade footprint."
catherine,Catherine family,Catherine,Catherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katharine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Kathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Cathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
rachel,Rachel family,Rachel,Rachel,approved,Rachel and Rachael are established spelling forms recorded separately; the reviewed family combines their qualifying female counts.
rachel,Rachel family,Rachel,Rachael,approved,Rachel and Rachael are established spelling forms recorded separately; the reviewed family combines their qualifying female counts.
