family_id,label,canonical,variant,review_status,rationale
ashley,Ashley family,Ashley,Ashley,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
ashley,Ashley family,Ashley,Ashlee,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
ashley,Ashley family,Ashley,Ashleigh,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
ashley,Ashley family,Ashley,Ashlie,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
ashley,Ashley family,Ashley,Ashly,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
ashley,Ashley family,Ashley,Ashli,approved,"Ashley was one of the defining girl names of the 1980s; manually reviewed respellings chart separately, so conventional tables understate the combined footprint."
brittany,Brittany family,Brittany,Brittany,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
brittany,Brittany family,Brittany,Brittney,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
brittany,Brittany family,Brittany,Britney,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
brittany,Brittany family,Brittany,Brittani,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
brittany,Brittany family,Brittany,Brittni,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
brittany,Brittany family,Brittany,Britany,approved,"Brittany and its respellings rose sharply in the 1980s; conventional rankings split the combined footprint across several entries."
caitlin,Caitlin family,Caitlin,Caitlin,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
caitlin,Caitlin family,Caitlin,Katelyn,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
caitlin,Caitlin family,Caitlin,Kaitlin,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
caitlin,Caitlin family,Caitlin,Kaitlyn,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
caitlin,Caitlin family,Caitlin,Caitlyn,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
caitlin,Caitlin family,Caitlin,Katlyn,approved,"Caitlin/Kaitlin-family spellings each chart separately; grouping the reviewed variants shows their combined 1980s footprint."
courtney,Courtney family,Courtney,Courtney,approved,"Courtney is the dominant spelling, but Cortney/Kourtney variants add measurable volume in the 1980s and are ranked separately by convention."
courtney,Courtney family,Courtney,Cortney,approved,"Courtney is the dominant spelling, but Cortney/Kourtney variants add measurable volume in the 1980s and are ranked separately by convention."
courtney,Courtney family,Courtney,Kourtney,approved,"Courtney is the dominant spelling, but Cortney/Kourtney variants add measurable volume in the 1980s and are ranked separately by convention."
courtney,Courtney family,Courtney,Kortney,approved,"Courtney is the dominant spelling, but Cortney/Kourtney variants add measurable volume in the 1980s and are ranked separately by convention."
kristen,Kristen family,Kristen,Kristen,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
kristen,Kristen family,Kristen,Kristin,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
kristen,Kristen family,Kristen,Kirsten,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
kristen,Kristen family,Kristen,Kristyn,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
kristen,Kristen family,Kristen,Kristan,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
kristen,Kristen family,Kristen,Kirstin,approved,"Kristen/Kristin and rarer reviewed variants are ranked separately by convention; the family view combines their 1980s footprints."
megan,Megan family,Megan,Megan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
megan,Megan family,Megan,Meghan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
megan,Megan family,Megan,Meagan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
megan,Megan family,Megan,Meaghan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
megan,Megan family,Megan,Maegan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
megan,Megan family,Megan,Meggan,approved,"Megan, Meghan, and related reviewed spellings coexisted through the decade; combined totals reveal a larger footprint than any single ranking entry."
